,Accuracy,F1,Model,Precision,Recall,Subject,Transfered layer
0,0.8132664437012264,0.8088719546676328,Pre-trained CAE,0.8128946735180914,0.8132664437012262,50,7
1,0.8416945373467113,0.8390400361999923,Pre-trained CAE,0.8422862362333324,0.8416945373467112,50,14
2,0.8534002229654404,0.8520809537025508,Pre-trained CAE,0.8559300192592572,0.8534002229654404,50,21
3,0.8595317725752508,0.8586532174176138,Pre-trained CAE,0.8628110197746173,0.8595317725752507,50,28
4,0.8431919642857143,0.8398354414872601,Pre-trained CAE,0.845426811207115,0.8433016259103215,50,7
5,0.8694196428571429,0.8678358733753734,Pre-trained CAE,0.8704235956142409,0.8695290217029349,50,14
6,0.87890625,0.8775990527737427,Pre-trained CAE,0.879587058998889,0.8789833355050748,50,21
7,0.8811383928571429,0.8796971666703614,Pre-trained CAE,0.8833078787335671,0.8812491855970117,50,28
8,0.8272017837235228,0.8234342474658967,Pre-trained CAE,0.8252308065102902,0.8272017837235227,50,7
9,0.835005574136009,0.8329531652722184,Pre-trained CAE,0.8370615872588169,0.8350055741360088,50,14
10,0.8578595317725752,0.8568723742975797,Pre-trained CAE,0.8602465560911869,0.857859531772575,50,21
11,0.8556298773690078,0.8533926363296065,Pre-trained CAE,0.8565192961144025,0.8556298773690078,50,28
12,0.8205128205128205,0.8167544049414682,Pre-trained CAE,0.8214744782791693,0.8205128205128204,50,7
13,0.8461538461538461,0.8436239459856401,Pre-trained CAE,0.8499317962107935,0.846153846153846,50,14
14,0.8617614269788183,0.8605983272853548,Pre-trained CAE,0.8651038887718147,0.8617614269788183,50,21
15,0.8639910813823858,0.8625894357325714,Pre-trained CAE,0.8657811356647005,0.8639910813823858,50,28
16,0.8291995490417137,0.8256991778857204,Pre-trained CAE,0.8288191138717833,0.8285676947004178,50,7
17,0.8472378804960541,0.8458951022824381,Pre-trained CAE,0.8506924872789329,0.8466318197439479,50,14
18,0.8235625704622322,0.8194208737532003,Pre-trained CAE,0.8333059397657914,0.8229346930719929,50,21
19,0.8697857948139797,0.8678690290327289,Pre-trained CAE,0.8702048890831966,0.8692945117430242,50,28
